"ID","ACTION_PLAN_PRODUCT_NAME__C","PRODUCT_NAME__C"
"a3N20000000013pEAA","ICICI Lombard Personal Accident Cover","ICICI Lombard Personal Accident Cover"
"a3N20000000013qEAA","IHO Pvt Ltd","NA"
"a3N20000000013rEAA","ICICI Lombard Critical Care Cover","ICICI Lombard Critical Care Cover"
"a3N20000000013sEAA","ICICI Lombard Health Protect Family Floater","ICICI Health Care Plus"
"a3N20000000013tEAA","Apollo Munich Health Insurance (Optima Restore)","Apollo Munich Easy Health Individual"
"a3N20000000013uEAA","ICICI Lombard Personal Protect Plan.","ICICI Lombard Health Protect Family Floater"
"a3N20000000013vEAA","ICICI Lombard Critical Care","ICICI Critical Care"
"a3N20000000013wEAA","HDFC Growth","HDFC Growth Fund"
"a3N20000000013xEAA","ICICI Pru Discovery","ICICI Discovery"
"a3N20000000013yEAA","IDFC SSIF MIP (D)","IDFC SSI Short Term Regular"
"a3N20000000013zEAA","SBI Dynamic Bond","SBI Dynamic Bond Fund"
"a3N200000000140EAA","Birla SL Savings","Birla Sun Life Savings Fund"
"a3N200000000141EAA","Kotak Flexi Deposit","Kotak FMP"
"a3N200000000153EAA","Reliance Savings","Reliance Gold Savings Fund"
"a3N200000000154EAA","DSP Top 100","DSP BlackRock Top 100 Equity Fund"
"a3N200000000155EAA","HDFC Top 200 fund (G)","HDFC Top 200 Fund"
"a3N200000000156EAA","DSP BR Top 100 Equity fund (G)","DSP BlackRock Top 100 Equity Fund"
"a3N200000000157EAA","DSP BR Equity fund (G)","DSP BlackRock Equity Fund"
"a3N200000000158EAA","Pramerica Ultra Short Term Bond","Pramerica Ultra Short Term Bond Fund"
"a3N200000000159EAA","icici sr 63 365 days","ICICI FMP"
"a3N20000000015AEAQ","icici blue chip fund growth","ICICI Blue Chip Fund Growth"
"a3N20000000015BEAQ","BSL dividend yield","Birla Sun Life Dividend Yield Plus"
"a3N20000000015CEAQ","hdfc fmp 370 days feb 12","HDFC FMP"
"a3N20000000015DEAQ","366 d regular","NA"
"a3N20000000015EEAQ","Fixed income 7 series","NA"
"a3N20000000015FEAQ","hdfc 371 days fmp","HDFC FMP"
"a3N20000000015GEAQ","bsl 36 months sr fb","Birla FMP"
"a3N20000000015HEAQ","kotak serial 84 365 days","Kotak FMP"
"a3N20000000015IEAQ","icici fmp series 63 750 days","ICICI FMP"
"a3N20000000015JEAQ","bsl fmp ep 367 series","Birla FMP"
"a3N20000000015KEAQ","bsl dynamic bond growth","Birla Sun Life Dynamic Bond Fund"
"a3N20000000015LEAQ","icici regualr savings fund","ICICI Prudential Regular Savings"
"a3N200000000152EAA","BSL FTP","Birla FMP"
"a3N20000000015MEAQ","BSL Medium Term Plan","Birla Sun Life Medium Term Plan"
"a3N20000000015NEAQ","Sundaram Select Mid Cap","Sundaram Select Mid Cap"
"a3N20000000015OEAQ","Pramerica Ultra Short Term Debt Fund","Pramerica Ultra Short Term Bond Fund"
"a3N20000000015PEAQ","Bajaj Allianz Premieum Personal Guard","Bajaj Allianz Premier Personal Guard"
"a3N20000000015QEAQ","IDFC MM Treasur y A","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000015REAQ","BSL Mid cap","Birla Sun Life MidCap Fund"
"a3N20000000015SEAQ","Gold Bees","NA"
"a3N20000000015TEAQ","ICICI Ultra Short Term Fund","ICICI Prudential Ultra Short Term Reg"
"a3N20000000015UEAQ","L&T Indo Asian Fund","L & T Indo Asia"
"a3N20000000015VEAQ","L&T Equity Fund (D)","L & T Equity"
"a3N20000000015WEAQ","SBI Blue Chip","TestTest"
"a3N20000000015XEAQ","Apollo Munich Optima Senior","Apollo Munich Optima Senior"
"a3N20000000015YEAQ","ICICI Lombard Personal Protect Plan","ICICI Lombard Personal Accident Cover"
"a3N20000000015ZEAQ","ICICI Health Care Plus","ICICI Lombard Health Protect Plus"
"a3N20000000015aEAA","Apollo Munich Optima Restore Family Floater","TestTest"
"a3N20000000015bEAA","Preventive Health Care","NA"
"a3N20000000015cEAA","HDFC Cash Mgt Treasury Advantage Fund","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000015dEAA","HDFC Cash Management Treasury Advantage Fund","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000015eEAA","HDFC Equity fund Growth","HDFC Equity Fund"
"a3N20000000015fEAA","Axis Money Manager Fund","Axis Money Manager Fund"
"a3N20000000015gEAA","IDFC Sterling Equity Fund","IDFC Sterling Equity Fund"
"a3N20000000015hEAA","Axis Triple Advantage Funf","Axis Triple Advanatage Fund"
"a3N20000000017LEAQ","Franklin India Bluechip Fund (D)","Franklin India Bluechip Fund"
"a3N20000000017MEAQ","DSP BR Equity Fund (D)","DSP BlackRock Equity Fund"
"a3N20000000017NEAQ","Franklin India Growth Fund (G)","Franklin India High Growth Companies"
"a3N20000000017OEAQ","UTI Dividend Yield (D)","UTI Dividend Yield"
"a3N20000000017PEAQ","HDFC Prudence Fund (D)","HDFC Prudence Fund"
"a3N20000000017QEAQ","HDFC Prudence Fund G","HDFC Prudence Fund"
"a3N20000000017REAQ","HDFC Equity Fund (G)","HDFC Equity Fund"
"a3N20000000017SEAQ","HDFC Prudence Fund (G)","HDFC Prudence Fund"
"a3N20000000017TEAQ","HDFC Top 200 Fund (D)","HDFC Top 200 Fund"
"a3N20000000017UEAQ","L & T Equity Fund L & T Equity Fund (D)","L & T Equity"
"a3N20000000017VEAQ","L & T Equity Fund (G)","L & T Equity"
"a3N20000000017WEAQ","BSL Frontline Equity Fund- A (D)","Birla Sun Life Frontline Equity Fund"
"a3N20000000017XEAQ","Franklin India Bluechip Fund (G)","Franklin India Bluechip Fund"
"a3N20000000017YEAQ","HDFC Growth Fund (G)","HDFC Growth Fund"
"a3N20000000017ZEAQ","Birla Frontline Equity Fund","Birla Sun Life Frontline Equity Fund"
"a3N20000000017aEAA","Franklin India Prima Plus (D)","Franklin India Prima Fund"
"a3N20000000017bEAA","IDFC Sterling Equity (D)","IDFC Sterling Equity Fund"
"a3N20000000017cEAA","Reliance Dynamic Bond","Reliance Dynamic Bond Fund"
"a3N20000000017dEAA","Pramerica Credit Opportunities(G)","Pramerica Credit Opportunities Fund"
"a3N20000000017eEAA","Pramerica Ultra ST Bond (DM)","Pramerica Ultra Short Term Bond Fund"
"a3N20000000017fEAA","Kotak Flexi - Debt (D)","Kotak FMP"
"a3N20000000017gEAA","BSL Cash Manager(DW)","Birla FMP"
"a3N20000000017hEAA","HDFC Cash Mngt. Tre Adv (G)","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000017iEAA","Reliance Regular Saving Debt (G)","Reliance Regular Savings Fund - Debt Option - Retail Plan"
"a3N20000000018vEAA","DSP Br ST Fund","DSP BlackRock Short Term Fund"
"a3N20000000018wEAA","ICICI Pru Regular Savings Fund","ICICI Prudential Regular Savings"
"a3N20000000018xEAA","ICICI Pru Foccussed Blue Chip Equity","ICICI Blue Chip Fund Growth"
"a3N20000000018yEAA","ICICI Pru Focussed Equity","ICICI Blue Chip Fund Growth"
"a3N20000000018zEAA","BSL BSL Savings","Birla Sun Life Savings Fund"
"a3N200000000190EAA","Premium Personal Guard","Bajaj Allianz Premier Personal Guard"
"a3N200000000191EAA","HDFC Hi Short Term","HDFC High Interest Fund - Short Term Plan"
"a3N200000000192EAA","Corporate Deposit","Fixed Deposit"
"a3N200000000193EAA","IDFC Money Manager Treasury Advanatage Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N200000000194EAA","IDFC Money Manager Treasury Advantage Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N200000000195EAA","DSP Top 100 Equity","DSP BlackRock Top 100 Equity Fund"
"a3N200000000196EAA","HDFC Monthly Income Plan - Long Term Plan (G)","HDFC Monthly Income Plan - Long Term Plan"
