"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005TrAAI","PRD-007859","01220000000638OAAQ","a33200000000BboAAE","true","Mutual Fund","Savings Account"
"a342000000005TsAAI","PRD-007860","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India FMP"
"a342000000005TtAAI","PRD-007861","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Income Opportunities"
"a342000000005TuAAI","PRD-007862","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Gold"
"a342000000003weAAA","PRD-003034","0122000000062cQAAQ","a332000000009qaAAA","true","Base Product","Starter Financial Planning"
"a342000000003wtAAA","PRD-003037","0122000000062cfAAA","a332000000009qaAAA","true","Value Added Services","Will Writing"
"a342000000003woAAA","PRD-003036","0122000000062cQAAQ","a332000000009qaAAA","true","Base Product","Comprehensive Financial Planning"
"a342000000003wyAAA","PRD-003039","0122000000062cfAAA","a332000000009qaAAA","true","Value Added Services","Ffreedom Credit Ready"
"a342000000003x3AAA","PRD-003040","0122000000062cfAAA","a332000000009qaAAA","true","Value Added Services","Tax Planning"
"a342000000003wZAAQ","PRD-003033","0122000000062cQAAQ","a332000000009qaAAA","true","Base Product","Risk Planning"
"a342000000003waAAA","PRD-003038","0122000000062cfAAA","a332000000009qaAAA","true","Value Added Services","Ffreedom Credit X Ray"
"a342000000003wjAAA","PRD-003035","0122000000062cQAAQ","a332000000009qaAAA","true","Base Product","Early Planning for Retirement"
"a342000000003zOAAQ","PRD-003158","0122000000062cQAAQ","a332000000009qaAAA","true","Base Product","Dual Goal Planning"
"a342000000005SRAAY","PRD-007771","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Critical Care"
"a342000000005SSAAY","PRD-007772","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI Health Care Plus"
"a342000000005STAAY","PRD-007773","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Critical Care"
"a342000000005SUAAY","PRD-007774","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Critical Care Cover"
"a342000000005SVAAY","PRD-007775","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Health Protect Family Floater"
"a342000000005SWAAY","PRD-007776","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Health Protect Plus"
"a342000000005Q5AAI","PRD-007625","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Dividend Yield Plus"
"a342000000005Q6AAI","PRD-007626","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Dynamic Bond Fund"
"a342000000005Q7AAI","PRD-007627","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Frontline Equity Fund"
"a342000000005Q8AAI","PRD-007628","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Gold Fund"
"a342000000005Q9AAI","PRD-007629","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Infrastructure Fund"
"a342000000005QAAAY","PRD-007630","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Medium Term Plan"
"a342000000005QBAAY","PRD-007631","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life MidCap Fund"
"a342000000005QCAAY","PRD-007632","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Savings Fund"
"a342000000005QDAAY","PRD-007633","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life 95"
"a342000000005QEAAY","PRD-007634","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Asset Allocation Aggressive"
"a342000000005QFAAY","PRD-007635","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Frontline Equity"
"a342000000005QGAAY","PRD-007636","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Dynamic Bond (less than 5 cr)"
"a342000000005R2AAI","PRD-007684","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Balanced"
"a342000000005R3AAI","PRD-007685","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Balanced Fund"
"a342000000005R4AAI","PRD-007686","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Cash Management Treasury Advantage Fund"
"a342000000005R5AAI","PRD-007687","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Equity Fund"
"a342000000005R6AAI","PRD-007688","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Gold Fund"
"a342000000005R7AAI","PRD-007689","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Growth Fund"
"a342000000005R8AAI","PRD-007690","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC High Interest Fund - Short Term Plan"
"a342000000005R9AAI","PRD-007691","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Index Fund - Sensex Plus Plan"
