"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005RmAAI","PRD-007730","01220000000638OAAQ","a33200000000BbGAAU","true","Mutual Fund","IDFC Tax Advantage"
"a342000000005RoAAI","PRD-007732","01220000000638OAAQ","a33200000000BbTAAU","true","Mutual Fund","Pramerica Equity Fund"
"a342000000005RpAAI","PRD-007733","01220000000638OAAQ","a33200000000BbTAAU","true","Mutual Fund","Pramerica Short Term Income Fund"
"a342000000005RnAAI","PRD-007731","01220000000638OAAQ","a33200000000BbTAAU","true","Mutual Fund","Pramerica Credit Opportunities Fund"
"a342000000005RqAAI","PRD-007734","01220000000638OAAQ","a33200000000BbTAAU","true","Mutual Fund","Pramerica Ultra Short Term Bond Fund"
"a342000000005RrAAI","PRD-007735","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Dynamic Bond Fund"
"a342000000005RsAAI","PRD-007736","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a342000000005RtAAI","PRD-007737","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Gold Savings Fund"
"a342000000005RuAAI","PRD-007738","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Growth Fund - Retail Plan"
"a342000000005RvAAI","PRD-007739","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Liquid Fund - Cash Plan"
"a342000000005RwAAI","PRD-007740","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Money Manager Fund - Retail Plan"
"a342000000005RxAAI","PRD-007741","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Monthly Income Plan"
"a342000000005RyAAI","PRD-007742","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Regular Savings Fund - Debt Option - Retail Plan"
"a342000000005RzAAI","PRD-007743","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Tax Saver (ELSS) Fund"
"a342000000005S0AAI","PRD-007744","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Dynamic Bond"
"a342000000005S1AAI","PRD-007745","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Long Term Equity"
"a342000000005S2AAI","PRD-007746","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Regular Savings Equity"
"a342000000005S3AAI","PRD-007747","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Short-term"
"a342000000005S4AAI","PRD-007748","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Tax Saver"
"a342000000005S5AAI","PRD-007749","01220000000638OAAQ","a33200000000BbMAAU","true","Mutual Fund","Reliance Vision"
"a342000000005S6AAI","PRD-007750","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Dynamic Bond Fund"
"a342000000005S7AAI","PRD-007751","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Emerging Businesses Fund - Regular Plan - G"
"a342000000005S8AAI","PRD-007752","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Magnum Tax Gain"
"a342000000005S9AAI","PRD-007753","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Magnum Contra"
"a342000000005SAAAY","PRD-007754","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Magnum Equity"
"a342000000005SBAAY","PRD-007755","01220000000638OAAQ","a33200000000BbOAAU","true","Mutual Fund","SBI Short Term Ret"
"a342000000005SCAAY","PRD-007756","01220000000638OAAQ","a33200000000BbPAAU","true","Mutual Fund","Sundaram Select Focus"
"a342000000005SDAAY","PRD-007757","01220000000638OAAQ","a33200000000BbPAAU","true","Mutual Fund","Sundaram Select Mid Cap"
"a342000000005SEAAY","PRD-007758","01220000000638OAAQ","a33200000000BbPAAU","true","Mutual Fund","Sundaram Growth"
"a342000000005SFAAY","PRD-007759","01220000000638EAAQ","a33200000000BbVAAU","true","General Insurance","Apollo Munich Easy Health Individual"
"a342000000005SGAAY","PRD-007760","01220000000638EAAQ","a33200000000BbVAAU","true","General Insurance","Apollo Munich Optima Senior"
"a342000000005SHAAY","PRD-007761","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Individual Health Guard"
"a342000000005SIAAY","PRD-007762","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Critical Care j Allianz"
"a342000000005SJAAY","PRD-007763","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Critical Care Policy"
"a342000000005SKAAY","PRD-007764","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Critical Illness Cover"
"a342000000005SLAAY","PRD-007765","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Extra Care"
"a342000000005SMAAY","PRD-007766","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Health Guard"
"a342000000005SNAAY","PRD-007767","01220000000638EAAQ","a33200000000BbWAAU","true","General Insurance","Bajaj Allianz Premier Personal Guard"
"a342000000005SOAAY","PRD-007768","01220000000638JAAQ","a33200000000BbXAAU","true","Life Insurance","BSLI Protector Plus Plan"
"a342000000005SPAAY","PRD-007769","01220000000638JAAQ","a33200000000BbEAAU","true","Life Insurance","HDFC Life Click 2 Protect"
"a342000000005SQAAY","PRD-007770","01220000000638EAAQ","a33200000000BbYAAU","true","General Insurance","Health Guard"
"a342000000005QkAAI","PRD-007666","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Tax Saver"
"a342000000005QlAAI","PRD-007667","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Top 100 Equity Reg"
"a342000000005QmAAI","PRD-007668","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock TOP 100 Reg"
"a342000000005QnAAI","PRD-007669","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Equity Income Fund"
"a342000000005QoAAI","PRD-007670","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Growth Fund"
"a342000000005QpAAI","PRD-007671","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Short Term Income Plan"
"a342000000005QqAAI","PRD-007672","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Treasury Management Account - Regular Plan"
"a342000000005QrAAI","PRD-007673","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Growth"
"a342000000005QsAAI","PRD-007674","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Short Term  Income"
"a342000000005QtAAI","PRD-007675","01220000000638OAAQ","a33200000000BbRAAU","true","Mutual Fund","Templeton India Short-term Income Ret"
"a342000000005QuAAI","PRD-007676","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Bluechip Fund"
"a342000000005QvAAI","PRD-007677","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Flexi Cap Fund"
"a342000000005QwAAI","PRD-007678","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Prima Fund"
"a342000000005QxAAI","PRD-007679","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Tax Shield"
"a342000000005QyAAI","PRD-007680","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Bluechip"
"a342000000005QzAAI","PRD-007681","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Opportunities"
"a342000000005R0AAI","PRD-007682","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Prima Plus"
"a342000000005R1AAI","PRD-007683","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India Flexi Cap"
