ID	NAME	IS_ACTIVE__C	PRODUCTTYPE__C	PRODUCT_NAME__C
a342000000005QbAAI	PRD-007657	true	Mutual Fund	DSP Equity Fund
a342000000005QcAAI	PRD-007658	true	Mutual Fund	DSP Money Manager Fund - Reg
a342000000005QaAAI	PRD-007656	true	Mutual Fund	DSP Short Term Fund
a342000000005TFAAY	PRD-007821	true	Mutual Fund	DSPBR Dual Advantage
a342000000003zOAAQ	PRD-003158	true	Base Product	Dual Goal Planning
a342000000005TGAAY	PRD-007822	true	Mutual Fund	DWS FMP/FTP
a342000000005THAAY	PRD-007823	true	Mutual Fund	DWS Tax Saving
a342000000003wjAAA	PRD-003035	true	Base Product	Early Planning for Retirement
a342000000003wyAAA	PRD-003039	true	Value Added Services	Ffreedom Credit Ready
a342000000003waAAA	PRD-003038	true	Value Added Services	Ffreedom Credit X Ray
a342000000005TIAAY	PRD-007824	true	Mutual Fund	Fixed Deposit
a342000000005R2AAI	PRD-007684	true	Mutual Fund	Franklin India Balanced
a342000000005QyAAI	PRD-007680	true	Mutual Fund	Franklin India Bluechip
a342000000005QuAAI	PRD-007676	true	Mutual Fund	Franklin India Bluechip Fund
a342000000005R1AAI	PRD-007683	true	Mutual Fund	Franklin India Flexi Cap
a342000000005QvAAI	PRD-007677	true	Mutual Fund	Franklin India Flexi Cap Fund
a342000000005TJAAY	PRD-007825	true	Mutual Fund	Franklin India High Growth Companies
a342000000005QzAAI	PRD-007681	true	Mutual Fund	Franklin India Opportunities
a342000000005QwAAI	PRD-007678	true	Mutual Fund	Franklin India Prima Fund
a342000000005R0AAI	PRD-007682	true	Mutual Fund	Franklin India Prima Plus
a342000000005QxAAI	PRD-007679	true	Mutual Fund	Franklin India Tax Shield
a342000000005R3AAI	PRD-007685	true	Mutual Fund	HDFC Balanced Fund
a342000000005RJAAY	PRD-007701	true	Mutual Fund	HDFC Cash Management Treasury Advantage
a342000000005R4AAI	PRD-007686	true	Mutual Fund	HDFC Cash Management Treasury Advantage Fund
a34200000000336AAA	PRD-000002	true	Life Insurance	HDFC Click 2 Protect
a342000000005RKAAY	PRD-007702	true	Mutual Fund	HDFC Equity
a342000000005R5AAI	PRD-007687	true	Mutual Fund	HDFC Equity Fund
a342000000005TKAAY	PRD-007826	true	Mutual Fund	HDFC FMP
a342000000005R6AAI	PRD-007688	true	Mutual Fund	HDFC Gold Fund
a342000000005RLAAY	PRD-007703	true	Mutual Fund	HDFC Growth
a342000000005R7AAI	PRD-007689	true	Mutual Fund	HDFC Growth Fund
