ID	TRAIL_COMMISSION__C	UPFRONT_COMMISSION__C	Active__c 
a1PW0000000KJj9MAG	0	20	TRUE
a1PW0000000KJjAMAW	0	20	TRUE
a1PW0000000KJjBMAW	0	20	TRUE
a1PW0000000KJjCMAW	0	20	TRUE
a1PW0000000KJjDMAW	0	20	TRUE
a1PW0000000KJjEMAW	0	20	TRUE
a1PW0000000KJjFMAW	0	20	TRUE
a1PW0000000KJjGMAW	0	20	TRUE
a1PW0000000KJjHMAW	0	18	TRUE
a1PW0000000KJj0MAG	0	18	TRUE
a1PW0000000KJj1MAG	0	18	TRUE
a1PW0000000KJjIMAW	0	18	TRUE
a1PW0000000KJjJMAW	0	18	TRUE
a1PW0000000KJjKMAW	2	45	TRUE
a1PW0000000KJjLMAW	0	20	TRUE
a1PW0000000KJjMMAW	0	20	TRUE
a1PW0000000KJjNMAW	0	0	TRUE
a1PW0000000KJjOMAW	0	20	TRUE
a1PW0000000KJjPMAW	0	20	TRUE
