Name	Short_Code__c	Is_Active__c
Axis	Axis	TRUE
Birla	Birla	TRUE
DSP	DSP	TRUE
Franklin	Franklin	TRUE
IDFC	IDFC	TRUE
Pramerica	Pramerica	TRUE
Premium	Premium	TRUE
Reliance	Reliance	TRUE
SBI	SBI	TRUE
Sundaram	Sundaram	TRUE
Templeton	Templeton	TRUE
Top Up	Top	TRUE
BSLI	BSLI	TRUE
HDFC	HDFC	TRUE
Apollo	Apollo	TRUE
Bajaj	Bajaj	TRUE
Health Guard	HG	TRUE
ICICI	ICICI	TRUE
PHC	PHC	TRUE
